Institute,State,StateId,Id,Type
Indian Institute of Technology Bhubaneswar,Odisha,1,100,IIT
Indian Institute of Technology Bombay,Maharashtra,2,101,IIT
Indian Institute of Technology Mandi,Himachal Pradesh,3,102,IIT
Indian Institute of Technology Delhi,Delhi,4,103,IIT
Indian Institute of Technology Indore,Madhya Pradesh,5,104,IIT
Indian Institute of Technology Kharagpur,West Bengal,6,105,IIT
Indian Institute of Technology Hyderabad,Telangana,7,106,IIT
Indian Institute of Technology Jodhpur,Rajasthan,8,107,IIT
Indian Institute of Technology Kanpur,Uttar Pradesh,9,108,IIT
Indian Institute of Technology Madras,Tamil Nadu,10,109,IIT
Indian Institute of Technology Gandhinagar,Gujarat,11,110,IIT
Indian Institute of Technology Patna,Bihar,12,111,IIT
Indian Institute of Technology Roorkee,Uttarakhand,13,112,IIT
Indian Institute of Technology (ISM) Dhanbad,Jharkhand,14,113,IIT
Indian Institute of Technology Ropar,Punjab,15,114,IIT
Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,9,115,IIT
Indian Institute of Technology Guwahati,Assam,16,116,IIT
Indian Institute of Technology Bhilai,Chhattisgarh,17,117,IIT
Indian Institute of Technology Goa,Goa,18,118,IIT
Indian Institute of Technology Palakkad,Kerala,19,119,IIT
Indian Institute of Technology Tirupati,Andhra Pradesh,20,120,IIT
Indian Institute of Technology Jammu,Jammu and Kashmir,21,121,IIT
Indian Institute of Technology Dharwad,Karnataka,22,122,IIT
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,15,123,NIT
Malaviya National Institute of Technology Jaipur,Rajasthan,8,124,NIT
Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,5,125,NIT
Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,9,126,NIT
National Institute of Technology Agartala,Tripura,23,127,NIT
National Institute of Technology Calicut,Kerala,19,128,NIT
National Institute of Technology Delhi,Delhi,4,129,NIT
National Institute of Technology Durgapur,West Bengal,6,130,NIT
National Institute of Technology Goa,Goa,18,131,NIT
National Institute of Technology Hamirpur,Himachal Pradesh,3,132,NIT
"National Institute of Technology Karnataka, Surathkal",Karnataka,22,133,NIT
National Institute of Technology Meghalaya,Meghalaya,24,134,NIT
National Institute of Technology Nagaland,Nagaland,25,135,NIT
National Institute of Technology Patna,Bihar,12,136,NIT
National Institute of Technology Puducherry,Puducherry,26,137,NIT
National Institute of Technology Raipur,Chhattisgarh,17,138,NIT
National Institute of Technology Sikkim,Sikkim,27,139,NIT
National Institute of Technology Arunachal Pradesh,Arunachal Pradesh,28,140,NIT
"National Institute of Technology, Jamshedpur",Jharkhand,14,141,NIT
"National Institute of Technology, Kurukshetra",Haryana,29,142,NIT
"National Institute of Technology, Manipur",Manipur,30,143,NIT
"National Institute of Technology, Mizoram",Mizoram,31,144,NIT
"National Institute of Technology, Rourkela",Odisha,1,145,NIT
"National Institute of Technology, Silchar",Assam,16,146,NIT
"National Institute of Technology, Srinagar",Jammu and Kashmir,21,147,NIT
"National Institute of Technology, Tiruchirappalli",Tamil Nadu,10,148,NIT
"National Institute of Technology, Uttarakhand",Uttarakhand,13,149,NIT
"National Institute of Technology, Warangal",Telangana,7,150,NIT
"Sardar Vallabhbhai National Institute of Technology, Surat",Gujarat,11,151,NIT
"Visvesvaraya National Institute of Technology, Nagpur",Maharashtra,2,152,NIT
"National Institute of Technology, Andhra Pradesh",Andhra Pradesh,20,153,NIT
"Indian Institute of Engineering Science and Technology, Shibpur",West Bengal,6,154,NIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Madhya Pradesh,5,155,IIIT
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",Rajasthan,8,156,IIIT
Indian Institute of Information Technology Guwahati,Assam,16,157,IIIT
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",West Bengal,6,158,IIIT
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",Haryana,29,159,IIIT
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",Himachal Pradesh,3,160,IIIT
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Andhra Pradesh,20,161,IIIT
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Gujarat,11,162,IIIT
"Indian Institute of Information Technology, Allahabad",Uttar Pradesh,9,163,IIIT
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Tamil Nadu,10,164,IIIT
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Madhya Pradesh,5,165,IIIT
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,Manipur,30,166,IIIT
